id,title,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,variety,winery
580,Raconteur 2016 White,US,"Two-thirds Chenin Blanc and one-third Grüner Veltliner, this wine opens with aromas of apple, white pepper, herb and spice. It brings a sense of freshness and purity, along with a rounded feel.",,89,18.0,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,White Blend,Raconteur
581,Savage Grace 2016 Orange Oak Ridge Vineyard Gewürztraminer,US,"This one-of-a-kind in the state wine was fermented on skins for 12 days, giving it a light-orange color. The aromas leap up from the glass, with notes of spice, lychee, orange peel and mineral. The palate is dry and textured, with a rich but still sleek feel. Put it on the dinner table to see it shine.",Orange Oak Ridge Vineyard,89,26.0,Washington,Columbia Gorge (WA),Washington Other,Sean P. Sullivan,@wawinereport,Gewürztraminer,Savage Grace
582,Seven Falls 2013 Merlot,US,"The aromas are so light you need to strain to get at them, with notes of vanilla, coffee and cherry. The palate brings plentiful coffee and cherry flavors that show a pleasing sense of texture. One wants more aromatically, but the palate delivers.",,89,18.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Merlot,Seven Falls
583,Silvertip 2014 Unfiltered Estate Pinot Noir,US,"This incredibly zesty and fruity bottling shows raspberry, lavender and white pepper on the nose. It's fun to sip, with snappy red fruits and hibiscus most prominent. Complexity comes from touches of rooibos tea and potpourri. It's still extremely youthful.",Unfiltered Estate,89,32.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Pinot Noir,Silvertip
584,Steininger 2016 Grüner Veltliner,Austria,"That herbal, yeasty tang of Grüner is on display on the nose. The dry palate further brings out the earthy aspect with miso, stone, yeast and lemon. The body is light and balanced with a savory but diffuse finish.",,89,18.0,Kamptal,,,Anne Krebiehl MW,@AnneInVino,Grüner Veltliner,Steininger
585,Stevens 2016 StevensSteel Chardonnay,US,"This is an expressive example of this variety, especially considering the stainless steel aging. The aromas are bright, with notes of apple, pear and melon. The cantaloupe flavors are broad and fleshy, lingering on the finish. It brings a lot of appeal.",StevensSteel,89,25.0,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Chardonnay,Stevens
586,Strauss 2016 Classic Pinot Blanc,Austria,"Although a flinty touch of reduction still hangs on the nose, freshness and verve await underneath. The palate is juicy, slight, dry and very refreshing. It offers a slender, lemony expression of Pinot Blanc with a clean-cut finish.",Classic,89,18.0,Steiermark,,,Anne Krebiehl MW,@AnneInVino,Pinot Blanc,Strauss
587,Strauss 2016 Classic Sauvignon Blanc,Austria,"Notes of tart lemon peel appear on the nose. The lean and light body continues in that lemony vein with brisk freshness. This wine is light, with a slight texture made up of yeastiness and zesty lemon. Some notes of grass appear on the finish. Drink this light, dry wine soon.",Classic,89,20.0,Südsteiermark,,,Anne Krebiehl MW,@AnneInVino,Sauvignon Blanc,Strauss
588,Trinity River 2015 Chardonnay,US,"It's always a treat to discover a good, well-made but not overpowering wine. This one has nothing in excess, just moderate and crisp fruit flavors with light spicy accents. An appetizing texture backed by good acidity leads to a clean, dry finish. This unoaked wine from northern California should be a crowd pleaser.",,89,18.0,California,North Coast,,Jim Gordon,@gordone_cellars,Chardonnay,Trinity River
589,Umathum 2015 Zweigelt,Austria,"A dark, smoky smudge seems to cover the red-cherry notes on the nose. The palate is juicy and light, with this red-cherry nature at its core. Easy and light, it's a perfect fruit-driven summer red.",,89,,Burgenland,,,Anne Krebiehl MW,@AnneInVino,Zweigelt,Umathum
590,Vintage Cowboy 2016 Chardonnay,US,"Sweet honeysuckle, lime blossoms and honeydew show on the very flowery nose of this bottling from a newer property near the old mining town of Pozo. The sip tightens up smartly with Anjou pear and honeysuckle flavors, but it's the powerful acidity that makes for a compelling palate.",,89,17.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Chardonnay,Vintage Cowboy
591,Winzer Krems 2016 GV Grüner Veltliner,Austria,"Almost luscious pear aromas and notes of peardrop make for a very fruity nose. The palate has a fruity, lemony ease, while the body is slender, dry and has some spritz. The lemon freshness is vivid, brightening everything on this easy, fruity summer wine.",GV,89,13.0,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Grüner Veltliner,Winzer Krems
592,Kontos 2014 Summit View Vineyard Malbec,US,"Purple fruit and wood spice intermingle on the aromas, along with clove, herb and baking spice, showing a touch of volatility. The fruit flavors are big and bold, bringing a sense of structure and liveliness. It's an intriguing example of the variety from an up-and-coming vineyard.",Summit View Vineyard,89,41.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Malbec,Kontos
593,Landhaus Mayer 2016 Riesling,Austria,"A hint of tropicality hovers above the nose, recalling passion fruit. The palate restricts itself to fresh lemon and green apple. This is light, dry, juicy and refreshing—ideal for a sunny day as a light apéritif.",,89,16.0,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Riesling,Landhaus Mayer
594,Lavau 2015 La Decelle Red,France,"This medium-bodied blend of 50% Grenache and 50% Syrah is simple but satisfying. Ripe cherries and raspberries carry the load, dressed up by hints of vanilla and cinnamon. A soft dustiness marks the texture, turning silky on the finish. Drink now–2020.",La Decelle,89,20.0,Rhône Valley,,,Joe Czerwinski,@JoeCz,Rhône-style Red Blend,Lavau
595,L'Ecole No. 41 2014 Cabernet Sauvignon,US,"This is a true pan-Washington Cabernet, with fruit coming from 12 different vineyards scattered across the Columbia Valley. It's 100% varietal as aromas of char, toast, black cherry meats, herb, cranberry and spice are followed by elegantly styled dark-fruit flavors. The tannins bring a bit of heft and grip.",,89,30.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Cabernet Sauvignon,L'Ecole No. 41
596,Lyrarakis 2015 Vilana,Greece,"This indigenous Cretan variety shows its character in the deft hands of Lyrarakis, grown at high altitude. Aromas of fresh pineapple, citrus and flowers lead into pear, green apple and saline notes. Balanced and bright.",,89,13.0,Crete,,,Susan Kostrzewa,@suskostrzewa,Vilana,Lyrarakis
597,Malat 2016 Furth-Palt Riesling,Austria,"A touch of funky yeastiness plays on the nose before the lemon zestiness shines through. The palate is slender and light, focusing on that bright, fresh lemon note. This is easy, juicy and very refreshing.",Furth-Palt,89,24.0,Kremstal,,,Anne Krebiehl MW,@AnneInVino,Riesling,Malat
598,Midnight 2013 Starlight Sangiovese,US,"Light and lively aromas of dried red berries, concentrated roses, cola and black plums show on the nose of this very accessible and pleasurable Sangiovese. The cohesive palate integrates cherry, cola and milk-chocolate flavors into an easy-drinking frame, perfect for barbecues or family-style Italian meals.",Starlight,89,36.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Sangiovese,Midnight
599,Michael Pozzan 2010 Cabernet Sauvignon,US,"An easy Cabernet, soft and fruity, great for drinking now, at a pretty good price. It's dry and gentle in the mouth, with some real complexity, combining ripe cherries and blackberries with suggestions of dried herbs, cocoa and tobacco.",,87,20.0,California,Alexander Valley,Sonoma,,,Cabernet Sauvignon,Michael Pozzan
600,Michele Chiarlo 2011 Le Marne,Italy,"Crisp and light with pretty mineral dustings behind the ripe peach and melon aromas, this Gavi shows a full and generous style. Its nicest quality is that it offers both softness in the mouth and elegance on the bouquet.",Le Marne,87,19.0,Piedmont,Gavi,,,,Cortese,Michele Chiarlo
601,Monte Xanic 2012 Viña Kristel Sauvignon Blanc,Mexico,"Sauvignon Blanc is, in general, one of Baja's more consistent performers. This version is light in color, with varietally familiar aromas of nettle, grapefruit and passion fruit. It's a bit weighty, with apple, grapefruit and tropical flavors. A mild bitterness can be found on the finish.",Viña Kristel,87,15.0,Valle de Guadalupe,,,Michael Schachner,@wineschach,Sauvignon Blanc,Monte Xanic
602,Paoletti 2010 Cabernet Sauvignon,US,"There's plenty of ripe berry-cherry fruit, fine acids and big tannins on this Cab, but it just doesn't have the stuffing for the long haul. It is, however, a satisfying Cabernet, offering lots of elegance for drinking now and over the next few years.",,87,69.0,California,Oak Knoll District,Napa,,,Cabernet Sauvignon,Paoletti
603,Peconic Bay Winery 2010 Cabernet Franc,US,"Ripe and luscious, this decadent Cabernet Franc is chock full of ripe red cherry and plum fruit, accented with purple violets and fresh herb tones. It's bold in alcohol and soft in style, but delicately framed by brisk acidity and a ruffle of feathery tannins.",,87,36.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Cabernet Franc,Peconic Bay Winery
604,Príncipe de Viana 2008 Reserva 1423 Red,Spain,"Bright red-fruit aromas are matched by dry spice and leathery scents. The feel on this blend of Tempranillo, Cabernet Sauvignon and Merlot is juicy and clampy, while flavors of red cherry, plum and currant come with a vanilla shading. This finishes crisp, with punchy acidity.",Reserva 1423,87,35.0,Northern Spain,Navarra,,Michael Schachner,@wineschach,Red Blend,Príncipe de Viana
605,Proemio 2009 Gran Reserve Winemaker's Selection Red,Argentina,"Mild berry and cherry aromas are standard and slightly oaky. The palate on this blend of Malbec, Merlot, Cabernet Sauvignon and Syrah is choppy and tannic, while earthy flavors of cherry and plum are pushed by firm acids. This finishes tannic, with coffee and herbal flavors.",Gran Reserve Winemaker's Selection,87,30.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Red Blend,Proemio
606,Quady North 2011 Bomba Grenache,US,"It's rare to find a varietally labeled Grenache that comes in under 13% alcohol, but here you have it. Blended with 10% Syrah, it has notes of white pepper, smoked meat, savory spices and red fruit. What it lacks in terms of depth it makes up for in purity and elegance.",Bomba,87,25.0,Oregon,Rogue Valley,Southern Oregon,Sean P. Sullivan,@wawinereport,Grenache,Quady North
607,Quady North 2011 Steel-Ox Viognier,US,"Named after the blending of Steelhead Run and Ox vineyard blocks, this appealing wine is fresh and varietal with notes of ripe peach and herbs. Aged six months in stainless steel and coming in at a low 12% alcohol, the fruit concentration is lighter in style but still offers enjoyment.",Steel-Ox,87,25.0,Oregon,Rogue Valley,Southern Oregon,Sean P. Sullivan,@wawinereport,Viognier,Quady North
608,Quinta do Portal 2012 Verdelho and Sauvignon Blanc White,Portugal,"Verdelho and Sauvignon Blanc hangs together easily on this herb-dominant wine. The texture has a creamy character, showing green fruits, lively acidity and a bright orange-zest aftertaste.",Verdelho and Sauvignon Blanc,87,15.0,Douro,,,Roger Voss,@vossroger,Portuguese White,Quinta do Portal
609,Raptor Ridge 2012 Estate Grüner Veltliner,US,"Grüner Veltliner, though still rare, shows good promise in Oregon. This is a big, sappy, ripe version that's borderline syrupy, with big flavors of peaches and apricots. But the supporting acids, and a lick of mineral, keep it from crashing.",Estate,87,20.0,Oregon,Chehalem Mountains,Willamette Valley,Paul Gregutt,@paulgwine ,Grüner Veltliner,Raptor Ridge
610,Rodney Strong 2012 Charlotte's Home Estate Sauvignon Blanc,US,"A touch of oak adds a sweet, smoky creaminess to this wine, but it's really dominated by Sauvignon Blanc's acidity and racy spearmint and tropical fruit. The alcohol is moderate, making it easy to drink.",Charlotte's Home Estate,87,17.0,California,Northern Sonoma,Sonoma,,,Sauvignon Blanc,Rodney Strong
611,Saintsbury 2010 Toyon Farm Pinot Noir,US,"This is a good Pinot Noir that's full-bodied, dry and silky in the mouth, with crisp acidity. It shows raspberry, cola and green tea flavors. Hard to predict if it has a future, so drink now–2014.",Toyon Farm,87,54.0,California,Carneros,Napa-Sonoma,,,Pinot Noir,Saintsbury
612,Sextant 2010 Caverio G-S-M,US,"This is an easy, gentle wine that's a little soft, with superripe cherry, persimmon and red licorice flavors. Delicious in the California way, it's showing its best now.",Caverio,87,40.0,California,Paso Robles,Central Coast,,,G-S-M,Sextant
613,Solar de Pinheiro 2012 Paço de São Lourenço White,Portugal,"With its light prickle on the tongue, this is as fresh as possible. It's clean, packed with green and citrus fruits, and boosted with some textured richness. Drink at once.",Paço de São Lourenço,87,12.0,Vinho Verde,,,Roger Voss,@vossroger,Portuguese White,Solar de Pinheiro
614,Suavia 2011  Soave Classico,Italy,"The dynamic sisters that run this estate deliver a clean and territory-driven line of white wines. This easy Soave Classico opens with peach, pear, citrus and a touch of fragrant honeysuckle flower. It's pure and focused overall.",,87,19.0,Veneto,Soave Classico,,,,Garganega,Suavia
615,Tilia 2011 Malbec,Argentina,"Four years running this wine has scored 87 and been a Best Buy. The bouquet is scratchy but nicely aromatic, including hints of spice to go with ripe berry scents. The palate is jammy and home to rooty berry, mild spice and very light oak flavors. The finish is a bit hot and fiery, which food will tame.",,87,11.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Malbec,Tilia
616,B Cellars 2011 Dutton Ranch Chardonnay,US,"This Chardonnay wants time to warm and breathe in the glass, so don't pour it right from the fridge. After a little while it develops considerably in generosity, offering waves of tropical fruits, peaches and pears. The oak is pretty strong, even jarring. Give it a few years in the cellars to let everything knit together.",Dutton Ranch,87,45.0,California,Russian River Valley,Sonoma,,,Chardonnay,B Cellars
617,Bacio della Luna 2012 Millesimato Extra Dry,Italy,This bubbly Prosecco Superiore offers vibrant tones of white flower and cut grass followed by light touches of peach and honeydew melon. The mouthfeel is creamy and soft with a subtle touch of sweetness.,Millesimato Extra Dry,87,25.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Glera,Bacio della Luna
618,Barlow 2009 Unfiltered Merlot,US,"Softly delicious, this is a beautiful Merlot to drink now. It's a little hot in alcohol on the finish, but feels elegant in the mouth, offering waves of cherries, currants and mocha.",Unfiltered,87,35.0,California,Calistoga,Napa,,,Merlot,Barlow
619,Borgo Maragliano NV Brut Chardonnay,Italy,"Here's a Chardonnay-based sparkler from Piedmont that opens with bright tones of lemon and sweet grapefruit followed by yeasty tones of freshly baked bread. There's some bitter almond as well, which adds tartness to the finish.",Brut,87,16.0,Piedmont,Piedmont,,,,Chardonnay,Borgo Maragliano
620,Bortolotti NV Dry,Italy,"Extra sweetness and density give this wine a full and generous personality. Dry Proseccos usually show a little extra peach juice and nectarine, as this wine does, without being heavy or cloying.",Dry,87,20.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Glera,Bortolotti
621,Claiborne & Churchill 2010 Pinot Noir,US,"An easy Pinot Noir, but by no means lacking elegance. It shows the moderate body and crisp, citrusy acidity that usually marks Edna Valley Pinot Noir, with pure, direct flavors of sour-cherry candy, cola, cinnamon and toast.",,87,28.0,California,Edna Valley,Central Coast,,,Pinot Noir,Claiborne & Churchill
622,Coiled 2009 Sidewinder Red,US,"Mostly Syrah, with just a dash of Petite Sirah (2%) and Petit Verdot (1%), this red from Sawtooth and Skyline vineyards brings light notes of smoked meat, chocolate, and flowers. The enjoyment here is mainly focused on mouthfeel, which is voluptuous and rich, leading to an open finish.",Sidewinder,87,25.0,Idaho,,,Sean P. Sullivan,@wawinereport,Red Blend,Coiled
623,Coiled 2010 Black Mamba Red,US,"This unusual blend of 85% Syrah, 10% Petit Verdot and 5% Petite Sirah comes together nicely, with the Syrah lending notes of cranberry and smoked meat and the Petit(e)s adding some heft to the plush texture and bitterness on the finish.",Black Mamba,87,28.0,Idaho,,,Sean P. Sullivan,@wawinereport,Red Blend,Coiled
624,Colter's Creek 2010 Koos-Koos-Kia Colter's Creek Vineyard Red,US,"Named after the Nez Perce name for the Clearwater River, this blend is mostly Merlot and Cabernet Sauvignon, with some Cabernet Franc and Syrah thrown in the mix. The aromas are light, with notes of berry and sweet spices. The cherry flavors are very soft, getting a bit attenuated on the back half on this otherwise pleasant red.",Koos-Koos-Kia Colter's Creek Vineyard,87,20.0,Idaho,Idaho,,Sean P. Sullivan,@wawinereport,Red Blend,Colter's Creek
625,Corte Falco 2010  Soave,Italy,Here's a pure expression of the Garganega grape that sees (in part) 8 months of oak aging for extra density and thickness. The wine shows spicy notes of cinnamon and white pepper backed by peach and candied fruit.,,87,15.0,Veneto,Soave,,,,Garganega,Corte Falco
626,Domenico Cavazza 2008 Memorio Creari,Italy,"Made with the indigenous Garganega grape (the same variety that makes Soave), this richly extracted white wine opens with an off-gold color and ripe notes of apricot and peach nectar.",Memorio Creari,87,23.0,Veneto,Gambellara Classico,,,,Garganega,Domenico Cavazza
627,Cascina La Ghersa 2009 Sivoy White,Italy,"This pretty white wine from northern Italy opens with an ashy, mineral feel and segues to aromas of candied fruit, peach and citrus. It is nearing the end of its drinking window so don't bother putting this bottle aside.",Sivoy,87,19.0,Piedmont,Monferrato,,,,White Blend,Cascina La Ghersa
628,Kangarilla Road 2012 Alluvial Fans Shiraz,Australia,"This plush, full-bodied wine is already delicious, delivering wave after wave of savory fruit flavor, something like soy-marinated, char-grilled beef. Tannins are supple enough to make this wine drinkable now, yet plentiful enough to suggest ample cellaring potential. Drink now-2030.",Alluvial Fans,92,35.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Shiraz,Kangarilla Road
629,Walt 2013 Pinpoint Extreme Pinot Noir,US,"Each year, this wine is intended to be an experiment. This vintage's creativity involves the addition of soil from the Santa Rita Hills to vineyards in the Russian River Valley. Yeasty on the nose, the result is rich and decadent, a wine that's juicy and velvety in black and red fruit and pillowy tannins. A warmth of spice lingers on the finish.",Pinpoint Extreme,92,75.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Pinot Noir,Walt
630,WillaKenzie Estate 2013 Aliette Pinot Noir,US,"From the oldest part of the estate, this subtle wine rewards your patience and full attention. Hints of rose petals adorn the floral accents, while the midpalate emphasizes flavors of raspberries and orange peel. At first a bit shy, this opens slowly and reveals hidden complexities and enduring length. Drink now through 2025.",Aliette,92,48.0,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine ,Pinot Noir,WillaKenzie Estate
631,Willm 2011 Vendanges Tardives Gewurztraminer,France,"Lifted notes of honey and rose petal play on the nose, the palate is altogether more lively than the nose suggests: sprightly and fresh, concentrated and caramel-tinged with lemon freshness. This strikes an appetizing, moreish palate and makes for joyful drinking.",Vendanges Tardives,92,54.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Gewürztraminer,Willm
632,Jean-Marc Bernhard 2013 Wineck-Schlossberg Grand Cru Riesling,France,"Ripe fragrant, yellow mirabelle plums constitute the chief perfume of this charming wine. The palate holds even more fruity nuance but is dry, concentrated and linear, being carried forward by zesty freshness and lemony overtones. This is clean, charming, taut and dry with a bracing nature and a clean, brisk finish.",Wineck-Schlossberg Grand Cru,92,34.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Riesling,Jean-Marc Bernhard
633,Yeringberg 2013 Viognier,Australia,"This full-bodied wine is rich without ever seeming overdone. Subtle smoke notes frame bold fruit—tangerine, pineapple and apricot—and gingery spice, while the finish is long, peppery and refreshing. Drink now–2020.",,92,60.0,Victoria,Yarra Valley,,Joe Czerwinski,@JoeCz,Viognier,Yeringberg
634,Armida 2013 Tina's Block Maple Vineyard Zinfandel,US,"From a two-acre block within the amazing Maple Vineyard planted in 1910, this wine also contains 10% Petite Sirah and 10% mixed blacks. Baked berry pie comes to mind first, conjuring up all things good and right in the world, topped in bourbon whipped cream and nutmeg. Good acidity buoys the proceedings. Drink now through 2021.",Tina's Block Maple Vineyard,92,48.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Zinfandel,Armida
635,Marqués de Murrieta 2010 Capellanía Viura,Spain,"Aromas of wood grain, vanilla, butter and fino Sherry are elegant and attractive for this style of white Rioja. On the palate, this oak-aged Viura is smooth, while creamy flavors of oak, apricot and peach excel. A smooth finish with plenty of vanilla and core acidity indicates this will age well for another 10 years.",Capellanía,92,28.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Viura,Marqués de Murrieta
636,Torbreck 2010 The Factor Shiraz,Australia,"The Torbreck wines, with the emphasis they place on ripeness, can sometimes be controversial. This one is full bodied and rich, with dense plum and chocolate notes that verge on being fudge-like. But those elements are lifted slightly by hints of mint and bacon. Mocha joins the party on the long finish. Drink now–2025.",The Factor,92,125.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Shiraz,Torbreck
637,Biecher & Schaal 2014 Altenberg de Bergheim Grand Cru White,France,"A rather perfumed nose hints at the Gewurztraminer that colors this Riesling with rose petal and honeysuckle notes. The co-planted varieties in this vineyard make a smashing duo since they are almost polar opposites: structured, straight-laced Riesling with its fine spine of acidity benefits from the playfulness and charm of aromatic, fleshy Gewurztraminer which in turn is lit up by Riesling's freshness. Really, this is a case where you can have the best of both worlds.",Altenberg de Bergheim Grand Cru,92,45.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Alsace white blend,Biecher & Schaal
638,Domaines Schlumberger 2010 Kitterlé Grand Cru Riesling,France,"A very subdued nose suggests some dried orange peel but the palate is full of life: there is bracing, bright and lemon-scented acidity on the dry palate and drenched stone. There is concentration and a texture of the finest, purest citrus oil. This is wonderfully mature and ready now but has the stuffing to last. Drink 2016–2020.",Kitterlé Grand Cru,92,36.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Riesling,Domaines Schlumberger
639,Domaines Schlumberger 2012 Kessler Grand Cru Pinot Gris,France,"There are mere hints of beeswax and marzipan on the nose. The palate opens into a structured, bright and well-lit space of pear peel, pear juice and a wonderfully bitter edge. This is off-dry and concentrated, definite but with a light touch. There is an intriguing hint of bitter orange peel that draws you in and pull this onto a higher plane.",Kessler Grand Cru,92,30.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Pinot Gris,Domaines Schlumberger
640,Foxen 2014 Tinaquaic Vineyard Chardonnay,US,"Yields tend to be low in this dry-farmed vineyard, which especially struggles during a drought, but the quality is fantastic. Aromas of browned toast, popcorn, Meyer-lemon pith, honey pollen and a mineral herbal chamomile character show on the nose. A vibrant chalkiness reveals itself on the sip, with lemon blossom and grapefruit pith keeping the palate tight, grippy and texturally zippy.",Tinaquaic Vineyard,92,37.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Chardonnay,Foxen
641,Les Belles Collines 2014 Pinot Gris,US,"Completely stainless-fermented and aged, this is a blockbuster of a white wine, refreshing and exotic in floral intoxication. Dry and light-bodied, it offers an edginess of slate-like minerality along with aromas of apricot and peach, finishing in a dusting of white pepper.",,92,25.0,California,California,California Other,Virginie Boone,@vboone,Pinot Gris,Les Belles Collines
642,Luis Duarte 2013 Monte de Carrapatelo Colheita Seleccionada Tinto Red,Portugal,"This is a new wine from the hands of master winemaker Luis Duarte. With its rich black fruits and dense tannins, it's also a wine that is firmly structured. Wood aging has added a layer of complexity and broadened out the fruits and dark tannins. Drink from 2017.",Monte de Carrapatelo Colheita Seleccionada Tinto,92,30.0,Alentejano,,,Roger Voss,@vossroger,Portuguese Red,Luis Duarte
643,Melhill 2012 Chardonnay,US,"Creamy in texture and floral in aroma, this is a lovely and well-integrated white wine, with well-crafted characteristics of pear and honeyed apple. Medium bodied, it'll pair well at the table and on its own.",,92,60.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Chardonnay,Melhill
644,Niner 2013 Estate Grown Cabernet Sauvignon,US,"Boosted by 5% Petit Verdot, this bottling shows lush aromas of fudge, black plum, black currant, soy and black pepper. The palate is dense and thick with more black fruit as well as caramel, purple flowers, milk chocolate and mint-chip ice cream, proving concentrated and decadent.",Estate Grown,92,40.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Cabernet Sauvignon,Niner
645,Purple Hands 2014 Freedom Hill Vineyard Pinot Noir,US,"Pommard and Wädenswil clones are combined here, yielding a stylish, well-defined wine with spicy berry fruit. Flavors punch through into a deep and detailed finish, with streaks of cola and caramel. The balance is spot-on.",Freedom Hill Vineyard,92,50.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Purple Hands
646,Quinta da Lagoalva de Cima 2013 Lagoalva Barrel Selection Tinto Red,Portugal,"As its name suggests this is a selection of barrels of Syrah and Touriga Nacional. It is rich, smooth and full of ripe fruit. The dusty tannins are in suspension, backing up the black plum and blueberry fruit flavors. Along with the juicy acidity, this is a wine to age. Drink from 2017.",Lagoalva Barrel Selection Tinto,92,23.0,Tejo,,,Roger Voss,@vossroger,Portuguese Red,Quinta da Lagoalva de Cima
647,Quinta do Monte Xisto 2013 Red,Portugal,"This is an impressive, powerful wine. It speaks of the hard landscape of the Douro Superior, with its structure and dark tannins. At the same time, ripe dark fruits push through the still-young tannins giving the potential for a rich, black fruit dominated wine. Predominantly Touriga Nacional (60 percent), this wine is a new venture created by João Nicolau d'Almeida (who has run Ramos-Pinto for many years) and his family. Drink from 2018.",,92,80.0,Douro,,,Roger Voss,@vossroger,Portuguese Red,Quinta do Monte Xisto
648,Reichsgraf von Kesselstatt 2014 Brauneberger Juffer-Sonnenuhr Spätlese Grosse Lage Riesling,Germany,"A spray of rose petals perfumes this aromatic spätlese. Its freshness is exhilarating, contrasting lavish layers of honey and marmalade against the sharp bites of pineapple, tangerine and lemon. Cutting and spry, yet deeply penetrating, it finishes on a lingering pollen note.",Brauneberger Juffer-Sonnenuhr Spätlese Grosse Lage,92,34.0,Mosel,,,Anna Lee C. Iijima,,Riesling,Reichsgraf von Kesselstatt
649,Stone The Crows 2013 Three Twins Vineyard Fallen Feather Cabernet Sauvignon,US,"With a smidgen of Petit Verdot, this dark, tight and leathery wine is exalted in tobacco, graphite and tar, still youthfully awkward and shy. The flavors lean savory into meaty aspects of currant and clove, waiting to find companionship in fruit. Drink now after a decant, or cellar through 2023.",Three Twins Vineyard Fallen Feather,92,75.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Cabernet Sauvignon,Stone The Crows
650,Sturm 2014 Sauvignon,Italy,"You'll find aromas of tomato leaf, passion fruit, crushed rock and green bell pepper on this radiant white. The bright, savory palate delivers tropical fruit, tangerine zest, dill, celery and mineral alongside tangy acidity. It's an extremely impressive showing for this challenging vintage.",,92,24.0,Northeastern Italy,Collio,,Kerin O’Keefe,@kerinokeefe,Sauvignon,Sturm
651,Kuentz-Bas 2014 Pfersigberg Grand Cru Riesling,France,"Subtle notes of clean, fresh lemon zest promise pleasure, the palate reveals a far riper aspect of fresh red apple and baked apples. The dry palate remains zingy and clean and provides ample textured freshness. The effect is that of fresh apple sorbet.",Pfersigberg Grand Cru,92,39.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Riesling,Kuentz-Bas
652,Plantagenet 2014 Riesling,Australia,"Based on this example and a few other informal tastings, 2014 will be a top vintage for Rieslings from Western Australia. Aromas of lime sherbet and wet stone lead into a crisply focused palate loaded with citrusy tartness that lingers on the mouthwatering finish. Drink now with shellfish, and consider holding some for up to 10 years.",,92,21.0,Western Australia,Great Southern,,Joe Czerwinski,@JoeCz,Riesling,Plantagenet
653,Scratch 2013 Grenache,US,"Reserved red-cherry fruit aromas gain complexity with fog-soaked sagebrush, dried purple flowers and an earthy mushroom character on the nose. Roasted shiitake, marjoram, crushed Brazil nuts and a hint of cardamom play on the dark, spicy, earthy palate, laid across a bed of cranberry fruit.",,92,35.0,California,Arroyo Seco,Central Coast,Matt Kettmann,@mattkettmann,Grenache,Scratch
654,Sipp Mack 2014 Rosacker Grand Cru Riesling,France,"Freshly cut red, yellow and green apples make both nose and palate very fruity. The dry palate with its lemony freshness and open aspect lets all the apple flavors shine and inflects them here and there with baked and dried apple, too. Wonderfully fruity and pure.",Rosacker Grand Cru,92,43.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Riesling,Sipp Mack
655,St. Amant 2013 Lodi Native Marian's Vineyard Zinfandel,US,"This is one of the best balanced and most elegant Zins around. Very fresh in aroma, it's slightly yeasty like freshly fermented wine, and with subtly gorgeous cherry and blackberry flavors layered with light cedar and cocoa spiciness. Not only is the finish lingering, but the wine still tasted great two days after pulling the cork.",Lodi Native Marian's Vineyard,92,30.0,California,Mokelumne River,Central Valley,Jim Gordon,@gordone_cellars,Zinfandel,St. Amant
